name,portion,portion_type,sub_ingredients,handmade,meat,fish,halal,aisle
tomatensaus,,,,,,,,
truffelsaus,,,,,,,,
creme fraiche,,,,,,,,
balsamico,,,,,,,,
nutella,,,,,,,,
olijven,,,,,,,,
rozemarijn,,,,,,,,
groentemix,,,,,,,,
lente ui,,,,,,,,
champignon,,,,,,,,
tomaatjes,,,,,,,,
gorgonzola,,,,,,,,
olijfolie,,,,,,,,
parmaham,,,,,,,,
mozzarella,,,,,,,,
ui,,,,,,,,
rode biet,,,,,,,,
knoflook,,,,,,,,
peterselie,,,,,,,,
artisjok,,,,,,,,
tandoori kip,,,"kippendij*2,yoghurt*0.4,citroen*0.2,garlic paste*0.2, ginger paste*0.2, tandoori masala*0.4, koriander poeder*0.2, kashmiri poeder*0.2, chilli poeder*0.2",,,,,
mais,,,,,,,,
guacamole,,,"avocado, diverse hete pepers, tomaatjes, peterselie, citroen",,,,,
spinazie,,,,,,,,
ham,,,,,,,,
cheddar,,,,,,,,
knoflooksaus,,,,,,,,
parmezaan,,,,,,,,
burrata,,,,,,,,
bruschetta,,,,,,,,
citroen ricotta,,,"ricotta, citroen",,,,,
basilicum,1,takje,,,,,1,gft
mex kruiden,1,Tbsp,,,,,1,kruiden
perzik,1,stuk,,,,,1,gft
kappertjes,.1,potje,,,,,1,
bbq saus,3,Tbsp,,,,,,
jam,2,Tbsp,,,,,,
peer,.3,stuk,,,,,1,gft
gele paprika,0.3,stuk,,,,,1,gft
pesto,1,pesto,"basilicum*3, parmezaan, olijfolie, pistache, knoflook*0.5",,,,1,
basilicum olie,1,drizzle,,,,,1,
brie,75,gr,,,,,1,zuivel
rucola,8,gr,,,,,1,gft
chili vlokken,1,Tbsp,,,,,1,kruiden
geitenkaas,80,gr,,,,,1,zuivel
kip,200,gr,,,1,,,vlees
diverse hete pepers,0.5,pepertje,,,,,1,gft
pijnboompitten,10,pitjes,,,,,1,gft
pistache,10,nootjes,,,,,1,
honing,1,drizzle,,,,,1,
salie,1,takje,,,,,1,gft
feta,50,gr,,,,,1,zuivel
truffelhoning,1,drizzle,,,,,1,
salami,5,plakjes,,,1,,,vlees
spek,5,plakjes,,,1,,0,vlees
pompoenpuree,1,puree,pompoen,,,,1,
tortilla chips,8,chippies,,,,,,
worst,2.5,worstjes,,,1,,,vlees
vijgen,2,stuks,,,,,1,gft
yoghurt,1,Tbsp,,,,,1,zuivel
jus,.25,zakje,,,,,,ikea
shoarma,200,gr,,,1,,0,vlees
köttbullar,8,balletjes,,,1,,,ikea
paprika,0.2,potje,,,,,1,
cranberrie,25,gr,,,,,1,ikea
tonijn,70,gr,,,,1,1,
kippendij,1,stuk,,,1,,,vlees
tomaat,1,stuk,,,,,1,gft
citroen,0.5,stuk,,,,,1,gft
garlic paste,1,Tbsp,,,,,1,asia
ginger paste,1,Tbsp,,,,,1,asia
tandoori masala,1,Tbsp,,,,,1,kruiden
koriander poeder,1,Tbsp,,,,,1,kruiden
kashmiri poeder,1,Tbsp,,,,,1,kruiden
chilli poeder,1,Tbsp,,,,,1,kruiden
avocado,1,stuk,,,,,1,gft
ricotta,50,gr,,,,,1,zuivel
pompoen,200,gr,,,,,1,gft
